"procarnumcod","fromarportcod","toarportcod","spacod","UpliftRestrictions","ThroughSPAflag","MultilateralCarrier","InvoluntaryRerouted","InvoluntaryEndorsed","Indemnification","sidetrip","originalreissueflg","Transportation","ownSurchargebilling","mixedclassoptions","sectorFareComponent","spaoncodeshare","OALsurchargebilling","spashareflag","FRMLAT","FRMLON","TOOLAT","TOOLON","bilamt","bilcnt","outcome"
"176","AKL","SYD","14","U","E","U","E","U","E","U","M","U","U","Q","U","U","M","U","-37.008098600","174.792007400","-33.946098330","151.177002000","750","8","2"
"043","SYX","HKG","15","U","E","U","E","U","E","U","M","U","U","Q","U","U","M","U","18.302900310","109.412002600","22.308901000","113.915001000","750","10","2"
"000","DVO","MNL","6","U","E","U","E","U","E","U","M","U","U","Q","U","U","M","U","7.125520229","125.646003700","14.508600000","121.019997000","750","11","2"
"838","YHM","YYC","6","U","E","U","E","U","E","U","M","U","U","Q","U","U","M","U","43.173599240","-79.934997560","51.113899230","-114.019996600","750.48","4","1"
"001","MNL","CEB","4","U","E","U","E","U","E","U","M","U","U","Q","U","U","M","U","14.508600000","121.019997000","10.307499890","123.978996300","750.66","16","2"
"006","HNL","SFO","11","U","I","U","I","Q","I","E","U","E","A","U","A","A","I","A","21.320620000","-157.924228000","37.618999480","-122.375000000","395","1","0"
"297","MNL","ILO","19","U","I","U","I","Q","I","E","U","E","A","U","A","A","I","A","14.508600000","121.019997000","10.833017000","122.493358000","395","6","1"
"000","CEB","LAX","5","U","I","U","I","Q","I","E","U","E","A","U","A","A","I","A","10.307499890","123.978996300","33.942501070","-118.407997100","395.05","1","0"
"000","MNL","CGK","3","U","I","U","I","Q","I","E","U","E","A","U","A","A","I","A","14.508600000","121.019997000","-6.125569820","106.655998200","395.14","8","2"
"157","MPH","CRK","39","U","I","U","I","Q","I","E","U","E","A","U","A","A","I","A","11.924500000","121.954002000","15.186000000","120.559998000","395.16","27","2"
"006","MNL","HKG","22","U","I","U","I","Q","I","E","U","E","A","U","A","A","I","A","14.508600000","121.019997000","22.308901000","113.915001000","395.2","2","0"
